gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000129824.16,10666.760421943769,-8.774848952697932,0.1461884992478932,-60.024208455812506,0,0
ENSG00000289575.1,729.9084362561103,3.6969591787661784,0.1278667921275768,28.912582518513517,8.295243071491492e-184,8.494743667360862e-180
ENSG00000108439.11,603.9408133311549,-4.1579329323073955,0.14428417492982493,-28.81766440657596,1.2886762763613117e-182,8.797792938718675e-179
ENSG00000253846.3,495.6468172947885,4.479698295482626,0.19648922068328994,22.79869745477388,4.723610281933516e-115,2.4186065546070086e-111
ENSG00000250616.4,524.3294182783786,-2.421262410709644,0.119660349480724,-20.23445879288263,4.8694261381648196e-91,1.9946143347150734e-87
ENSG00000251129.3,1299.6449978456126,-1.7157612964160187,0.10217572813279639,-16.79225905966696,2.780564281982114e-63,9.491456176545947e-60
ENSG00000289456.1,383.05336459507777,-2.1349245602552176,0.14478271445064417,-14.745714420094014,3.278321310177333e-49,9.591899821963137e-46
ENSG00000286339.1,905.8164298684236,-1.7173215833456874,0.1171030886295951,-14.665040892112508,1.0795210780369671e-48,2.7637088999093905e-45
ENSG00000282914.1,120.85292317975406,3.7577903664603833,0.26449747184866607,14.207282739588631,8.25676169349587e-46,1.8789637360498767e-42
ENSG00000291093.1,152.5893235410321,2.8811920590357514,0.20577053606410897,14.001966045022597,1.5161758512902677e-44,3.105279761027597e-41
